日付,10歳未満,10代,20代,30代,40代,50代,60代,70代,80代,90歳以上,10歳未満,10代,20代,30代,40代,50代,60代,70代,80代,90歳以上,10歳未満,10代,20代,30代,40代,50代,60代,70代,80代,90歳以上,10歳未満,10代,20代,30代,40代,50代,60代,70代,80代,90歳以上
9/21,506,1263,1694,2245,2836,3223,3489,3631,3765,3828,13.22,32.99,44.25,58.65,74.09,84.20,91.14,94.85,98.35,100.00,506,757,431,551,591,387,266,142,134,63,13.22,19.78,11.26,14.39,15.44,10.11,6.95,3.71,3.50,1.65
9/28,356,893,1225,1591,2091,2467,2693,2826,2920,2981,11.94,29.96,41.09,53.37,70.14,82.76,90.34,94.80,97.95,100.00,356,537,332,366,500,376,226,133,94,61,11.94,18.01,11.14,12.28,16.77,12.61,7.58,4.46,3.15,2.05
10/5,285,661,884,1195,1528,1761,1920,2006,2049,2088,13.65,31.66,42.34,57.23,73.18,84.34,91.95,96.07,98.13,100.00,285,376,223,311,333,233,159,86,43,39,13.65,18.01,10.68,14.89,15.95,11.16,7.61,4.12,2.06,1.87
10/12,316,697,929,1236,1630,1884,2050,2138,2191,2218,14.25,31.42,41.88,55.73,73.49,84.94,92.43,96.39,98.78,100.00,316,381,232,307,394,254,166,88,53,27,14.25,17.18,10.46,13.84,17.76,11.45,7.48,3.97,2.39,1.22
10/19,194,498,704,962,1210,1403,1534,1619,1690,1736,11.18,28.69,40.55,55.41,69.70,80.82,88.36,93.26,97.35,100.00,194,304,206,258,248,193,131,85,71,46,11.18,17.51,11.87,14.86,14.29,11.12,7.55,4.90,4.09,2.65
10/26,205,490,699,990,1273,1493,1650,1753,1810,1834,11.18,26.72,38.11,53.98,69.41,81.41,89.97,95.58,98.69,100.00,205,285,209,291,283,220,157,103,57,24,11.18,15.54,11.40,15.87,15.43,12.00,8.56,5.62,3.11,1.31
11/2,261,547,790,1054,1384,1622,1763,1842,1912,1943,13.43,28.15,40.66,54.25,71.23,83.48,90.74,94.80,98.40,100.00,261,286,243,264,330,238,141,79,70,31,13.43,14.72,12.51,13.59,16.98,12.25,7.26,4.07,3.60,1.60
11/9,232,550,836,1144,1435,1695,1864,1972,2036,2067,11.22,26.61,40.45,55.35,69.42,82.00,90.18,95.40,98.50,100.00,232,318,286,308,291,260,169,108,64,31,11.22,15.38,13.84,14.90,14.08,12.58,8.18,5.22,3.10,1.50
11/16,227,556,844,1174,1494,1801,2027,2166,2264,2298,9.88,24.19,36.73,51.09,65.01,78.37,88.21,94.26,98.52,100.00,227,329,288,330,320,307,226,139,98,34,9.88,14.32,12.53,14.36,13.93,13.36,9.83,6.05,4.26,1.48
11/23,309,651,1040,1567,2011,2408,2722,2908,3019,3062,10.09,21.26,33.96,51.18,65.68,78.64,88.90,94.97,98.60,100.00,309,342,389,527,444,397,314,186,111,43,10.09,11.17,12.70,17.21,14.50,12.97,10.25,6.07,3.63,1.40
11/30,367,834,1383,1946,2542,3056,3441,3652,3810,3887,9.44,21.46,35.58,50.06,65.40,78.62,88.53,93.95,98.02,100.00,367,467,549,563,596,514,385,211,158,77,9.44,12.01,14.12,14.48,15.33,13.22,9.90,5.43,4.06,1.98
12/7,505,1089,1649,2292,3001,3567,3979,4222,4395,4491,11.24,24.25,36.72,51.04,66.82,79.43,88.60,94.01,97.86,100.00,505,584,560,643,709,566,412,243,173,96,11.24,13.00,12.47,14.32,15.79,12.60,9.17,5.41,3.85,2.14
12/14,459,1148,1817,2530,3253,3826,4262,4533,4673,4747,9.67,24.18,38.28,53.30,68.53,80.60,89.78,95.49,98.44,100.00,459,689,669,713,723,573,436,271,140,74,9.67,14.51,14.09,15.02,15.23,12.07,9.18,5.71,2.95,1.56
12/21,701,1557,2497,3531,4498,5270,5781,6057,6239,6316,11.10,24.65,39.53,55.91,71.22,83.44,91.53,95.90,98.78,100.00,701,856,940,1034,967,772,511,276,182,77,11.10,13.55,14.88,16.37,15.31,12.22,8.09,4.37,2.88,1.22
12/28,586,1454,2577,3726,4942,5883,6537,6842,7060,7140,8.21,20.36,36.09,52.18,69.22,82.39,91.55,95.83,98.88,100.00,586,868,1123,1149,1216,941,654,305,218,80,8.21,12.16,15.73,16.09,17.03,13.18,9.16,4.27,3.05,1.12
1/4,850,2025,4213,5907,7514,8906,9798,10311,10629,10770,7.89,18.80,39.12,54.85,69.77,82.69,90.97,95.74,98.69,100.00,850,1175,2188,1694,1607,1392,892,513,318,141,7.89,10.91,20.32,15.73,14.92,12.92,8.28,4.76,2.95,1.31
1/11,826,1834,3107,4191,5441,6546,7359,7772,8098,8271,9.99,22.17,37.56,50.67,65.78,79.14,88.97,93.97,97.91,100.00,826,1008,1273,1084,1250,1105,813,413,326,173,9.99,12.19,15.39,13.11,15.11,13.36,9.83,4.99,3.94,2.09
1/18,494,922,1314,1836,2391,2838,3202,3401,3573,3667,13.47,25.14,35.83,50.07,65.20,77.39,87.32,92.75,97.44,100.00,494,428,392,522,555,447,364,199,172,94,13.47,11.67,10.69,14.24,15.13,12.19,9.93,5.43,4.69,2.56
1/25,350,655,928,1344,1702,2037,2259,2424,2567,2634,13.29,24.87,35.23,51.03,64.62,77.33,85.76,92.03,97.46,100.00,350,305,273,416,358,335,222,165,143,67,13.29,11.58,10.36,15.79,13.59,12.72,8.43,6.26,5.43,2.54
2/1,283,515,702,1042,1383,1618,1799,1899,1986,2030,13.94,25.37,34.58,51.33,68.13,79.70,88.62,93.55,97.83,100.00,283,232,187,340,341,235,181,100,87,44,13.94,11.43,9.21,16.75,16.80,11.58,8.92,4.93,4.29,2.17
2/8,147,271,402,551,741,930,1038,1117,1183,1230,11.95,22.03,32.68,44.80,60.24,75.61,84.39,90.81,96.18,100.00,147,124,131,149,190,189,108,79,66,47,11.95,10.08,10.65,12.11,15.45,15.37,8.78,6.42,5.37,3.82
2/15,88,172,235,344,435,523,601,639,664,678,12.98,25.37,34.66,50.74,64.16,77.14,88.64,94.25,97.94,100.00,88,84,63,109,91,88,78,38,25,14,12.98,12.39,9.29,16.08,13.42,12.98,11.50,5.60,3.69,2.06
