日付,10歳未満,10代,20代,30代,40代,50代,60代,70代,80代,90歳以上,10歳未満,10代,20代,30代,40代,50代,60代,70代,80代,90歳以上,10歳未満,10代,20代,30代,40代,50代,60代,70代,80代,90歳以上,10歳未満,10代,20代,30代,40代,50代,60代,70代,80代,90歳以上
1/12,0,1,1,1,3,4,7,13,22,27,0.00,3.70,3.70,3.70,11.11,14.81,25.93,48.15,81.48,100.00,0,1,0,0,2,1,3,6,9,5,0.00,3.70,0.00,0.00,7.41,3.70,11.11,22.22,33.33,18.52
1/19,0,0,0,3,3,7,10,22,58,76,0.00,0.00,0.00,3.95,3.95,9.21,13.16,28.95,76.32,100.00,0,0,0,3,0,4,3,12,36,18,0.00,0.00,0.00,3.95,0.00,5.26,3.95,15.79,47.37,23.68
1/26,0,0,2,2,11,15,35,95,179,264,0.00,0.00,0.76,0.76,4.17,5.68,13.26,35.98,67.80,100.00,0,0,2,0,9,4,20,60,84,85,0.00,0.00,0.76,0.00,3.41,1.52,7.58,22.73,31.82,32.20
2/2,0,0,0,5,8,22,28,110,278,449,0.00,0.00,0.00,1.11,1.78,4.90,6.24,24.50,61.92,100.00,0,0,0,5,3,14,6,82,168,171,0.00,0.00,0.00,1.11,0.67,3.12,1.34,18.26,37.42,38.08
2/9,0,0,2,6,15,42,90,263,678,960,0.00,0.00,0.21,0.62,1.56,4.38,9.38,27.40,70.62,100.00,0,0,2,4,9,27,48,173,415,282,0.00,0.00,0.21,0.42,0.94,2.81,5.00,18.02,43.23,29.38
2/16,0,2,4,6,13,36,97,349,965,1405,0.00,0.14,0.28,0.43,0.93,2.56,6.90,24.84,68.68,100.00,0,2,2,2,7,23,61,252,616,440,0.00,0.14,0.14,0.14,0.50,1.64,4.34,17.94,43.84,31.32
2/23,0,1,1,1,11,40,113,393,1038,1546,0.00,0.06,0.06,0.06,0.71,2.59,7.31,25.42,67.14,100.00,0,1,0,0,10,29,73,280,645,508,0.00,0.06,0.00,0.00,0.65,1.88,4.72,18.11,41.72,32.86
3/2,1,1,3,9,14,37,108,386,983,1417,0.07,0.07,0.21,0.64,0.99,2.61,7.62,27.24,69.37,100.00,1,0,2,6,5,23,71,278,597,434,0.07,0.00,0.14,0.42,0.35,1.62,5.01,19.62,42.13,30.63
3/9,1,1,1,2,9,30,83,293,806,1140,0.09,0.09,0.09,0.18,0.79,2.63,7.28,25.70,70.70,100.00,1,0,0,1,7,21,53,210,513,334,0.09,0.00,0.00,0.09,0.61,1.84,4.65,18.42,45.00,29.30
3/16,1,2,3,6,14,36,76,260,644,937,0.11,0.21,0.32,0.64,1.49,3.84,8.11,27.75,68.73,100.00,1,1,1,3,8,22,40,184,384,293,0.11,0.11,0.11,0.32,0.85,2.35,4.27,19.64,40.98,31.27
