国内最初の感染報告	2020/1/16	感染
在中国大使館に対策本部を設置	2020/1/21	予防
新型コロナウイルスに関連した感染症対策に関する関係閣僚会議	2020/1/21	予防
チャーター便で中国から邦人帰国	2020/1/29	水際
WHO 緊急事態宣言	2020/1/30	宣言
厚生労働省健康フォローアップセンター立ち上げ	2020/1/29	医療
新型コロナウイルス感染症対策本部第1回会議	2020/1/30	予防
ダイヤモンド・プリンセス入港	2020/2/3	水際
感染地域からの外国人入国拒否など水際対策実施	2020/2/13	水際
新型コロナウイルス感染症対策専門家会議第1回会議	2020/2/16	予防
専門家会議から呼びかけ３蜜の回避を	2020/3/9	予防
欧州等からの入国時査証免除の中止	2020/3/21	水際
東京オリンピックの延期が決定	2020/3/24	行事
志村けんさん死去	2020/3/29
布マスクの全戸配布を発表	2020/4/1	予防
緊急事態宣言発令	2020/4/7	宣言
出勤者数の7割削減を目指す	2020/4/11	予防
第１波陽性判明数ピーク 533人	2020/4/15	感染
緊急経済対策閣議決定（特別定額給付金等）	2020/4/20	経済
持続化給付金申請開始	2020/5/1	経済
レムデシビル特別承認	2020/5/7	医療
緊急事態宣言首都圏、北海道を除き解除	2020/5/21	宣言
緊急事態宣言全国解除	2020/5/25	宣言
接触追跡アプリCOCOA配布開始	2020/6/19	予防
家賃支援給付金申請開始	2020/7/14	経済
GoTo Travel 東京以外 第１弾	2020/7/22	経済
第２波陽性判明数ピーク 1,372人	2020/8/9	感染
菅内閣が発足	2020/9/16	政治
イベントの人数制限緩和	2020/9/19	予防
GoTo Travel 東京を含む 第２弾	2020/10/1	経済
レムデシビルの一般流通開始	2020/10/18	医療
GoTo 見直し：大阪、北海道除外	2020/11/24	経済
年末年始に向けた都道府県からのメッセージ	2020/12/20	宣言
緊急事態宣言発令 首都圏	2021/1/7	宣言
第３波陽性判明数ピーク 6,489人	2021/1/11	感染
緊急事態宣言発令 大阪ほか	2021/1/14	宣言
新型インフルエンザ等対策特別措置法改正	2021/2/3	予防
ワクチン医療関係者優先接種開始	2021/3/4	予防
緊急事態宣言解除 大阪ほか	2021/3/7	宣言
緊急事態宣言解除 首都圏	2021/3/21	宣言
まん延防止重点措置　宮城・大阪・兵庫	2021/4/5	宣言
まん延防止重点措置　東京・京都・沖縄	2021/4/12	宣言
まん延防止重点措置　神奈川・千葉・埼玉・愛知	2021/4/20	宣言
バリシチニブ特別承認	2021/4/23	医療
緊急事態宣言発令　東京・大阪・兵庫・京都	2021/4/25	宣言
緊急事態宣言発令　愛知・福岡	2021/5/12	宣言
第４波陽性判明数ピーク 6,442人	2021/5/14	感染
緊急事態宣言発令　岡山・広島・北海道	2021/5/16	宣言
国内最初のデルタ株感染者（海外渡航歴なし）	2021/5/18	感染
緊急事態宣言発令　沖縄	2021/5/23	宣言
ワクチン大規模接種センター接種開始	2021/5/24	予防
緊急事態宣言→まん延防止重点措置	2021/6/20	宣言
ワクチン職域接種開始	2021/6/21	予防
東京都議会議員選挙告示日	2021/6/25	政治
東京都議会議員選挙投票日	2021/7/4	政治
緊急事態宣言発令　東京	2021/7/11	宣言
カシリビマブ、イムデビマブ特別承認	2021/7/19	医療
オリンピック開始	2021/7/21	行事
オリンピック開会式	2021/7/23	行事
オリンピック閉幕	2021/8/8	行事
パラリンピック開会式	2021/8/24	行事
第５波陽性判明数ピーク 23,182人	2021/8/25	感染
パラリンピック閉幕	2021/9/5	行事
ソトロビマブ特別承認	2021/9/27	医療
緊急事態宣言解除	2021/9/30	宣言
岸田内閣が発足	2021/10/4	政治
衆議院選挙公示	2021/10/19	政治
衆議院選挙投票日	2021/10/31	政治
オミクロン株入国者の検疫で発見	2021/11/28	感染
ワクチン医療関係者追加接種開始	2021/12/1	予防
モルヌピラビル(経口カプセル)特別承認	2021/12/24	医療
まん延防止措置　沖縄、山口、広島	2022/1/9	宣言
まん延防止措置　東京など	2022/1/21	宣言
まん延防止措置　大阪、北海道など	2022/1/27	宣言
事業復活支援金申請開始	2022/1/31	経済
第６波陽性判明数ピーク 88,189人	2022/2/5	感染
5〜11才ワクチン接種開始（東京足立区）	2022/2/26	予防
まん延防止措置解除 13県	2022/3/6	宣言
5〜11才ワクチン接種東京大規模会場開始	2022/3/14	予防
まん延防止措置解除 リバウンド警戒期間開始	2022/3/21	宣言
リバウンド警戒期間終了	2022/4/24	宣言
東京で BA.5 市中検出	2022/5/13	感染
ワクチン４回目接種開始	2022/5/26	予防
海外団体観光客受け入れ開始	2022/6/10	水際
参議院選挙公示	2022/6/22	政治
参議院選挙投票日	2022/7/10	政治
東京都で小学校・幼稚園の接触追跡中止	2022/7/22	予防
第２次岸田内閣が発足	2022/8/10	政治
第７波陽性判明数ピーク 226,982人	2022/8/24	感染
水際対策緩和（入国前陰性証明条件緩和）	2022/9/7	水際
検査結果全数報告項目の緩和	2022/9/26	予防
水際対策緩和（個人旅行者ビザなし入国可）	2022/10/11	水際
全国旅行支援（東京都を除く）	2022/10/11	経済
全国旅行支援（東京都）	2022/10/20	経済
ワクチン５回目接種開始	2022/10/21	予防
接触追跡アプリCOCOAの機能停止を発表	2022/11/11	予防
医療ひっ迫防止対策強化宣言	2022/11/18	宣言
ゾコーバ錠緊急承認	2022/11/22	医療
中国からの入国者に対する水際措置の見直し	2022/12/27	水際
第８波陽性判明数ピーク 181,964人	2023/1/11	感染
首相官邸より５類への見直しに向けた議論について発表	2023/1/20	予防
マスク着用の考え方の見直し等について発表	2023/2/10	予防
中国からの入国者に対する水際措置を一部緩和	2023/3/1	水際
マスク着用の原則を緩和	2023/3/13	予防
