2021/12/1,353,87,81,4,1,7,91,33,7,1,104,69,404,58,1,0,1,0,99,18,468,172,232,3,10,104,237,43,11,4,83,8,296,77,790,11,131,151,12,116,23,3,150,12,114,253,7
2021/12/2,566,126,212,15,2,7,130,57,22,5,419,140,765,85,1,40,3,48,166,131,867,174,438,10,31,138,292,83,14,4,119,10,545,146,1505,11,140,283,23,131,37,3,321,20,129,388,35
2021/12/3,1156,223,371,24,4,9,213,160,302,113,1046,307,1921,217,17,257,9,111,230,279,1103,379,1184,22,46,422,895,179,36,80,297,21,1089,371,2878,14,268,427,85,153,48,10,568,108,288,585,433
2021/12/4,1178,278,372,34,4,14,213,298,334,123,1167,554,2151,293,18,257,10,117,242,288,1127,637,1617,28,62,448,996,274,44,84,300,21,1212,403,3207,17,283,431,98,162,52,13,575,109,290,614,502
2021/12/5,1196,278,372,34,4,14,213,308,334,123,1168,711,2220,315,18,278,11,117,242,291,1127,637,1620,31,71,449,1012,293,44,84,300,21,1215,441,3551,17,296,432,98,173,52,67,576,109,290,615,503
2021/12/6,1679,514,467,199,59,15,429,478,556,270,1696,1209,3508,653,34,613,99,209,361,476,1140,916,1941,94,83,647,1466,520,62,108,368,52,1807,725,4984,22,400,587,295,425,83,69,669,122,424,651,520
2021/12/7,2240,829,525,593,101,198,666,808,1195,365,2177,1858,4835,1094,49,863,104,273,439,622,1300,1163,2277,160,117,1190,2020,938,233,128,427,80,2495,950,6246,35,518,596,427,688,107,78,851,165,496,946,546
2021/12/8,2696,1337,766,766,144,294,1016,1251,1485,458,2831,2500,6234,1606,164,963,110,323,531,894,1452,1648,2857,284,192,1621,2795,1487,407,160,455,115,3499,1390,7318,48,623,603,482,761,170,120,1290,263,666,1256,637
2021/12/9,3400,1611,1049,1195,195,668,1572,1616,1873,578,3671,3142,8251,2309,278,977,115,957,704,1014,1561,1911,3177,446,221,1901,3443,2150,429,203,511,149,4413,2033,8599,134,798,778,567,968,257,141,2058,359,763,1473,671
2021/12/10,5655,2325,1651,2213,258,1156,2444,2699,3538,1323,5348,4899,12106,3704,745,1204,435,1742,1124,1603,2210,2813,5031,961,373,2882,6722,4176,777,422,675,305,5965,2632,10654,249,1154,961,1009,2245,825,320,3514,1268,870,1953,1131
2021/12/11,5768,2363,1653,2303,260,1162,2627,3009,3616,1382,5666,5176,12825,4032,756,1377,442,1752,1421,1748,2272,2854,5420,966,402,3195,7423,4464,808,430,684,305,6381,2702,11109,255,1304,978,1071,2338,839,428,3688,1436,915,2093,1218
2021/12/12,5782,2363,1653,2303,260,1162,2627,3130,3618,1384,5678,5236,12983,4038,757,1377,442,1752,1421,1749,2300,2854,5424,971,410,3199,7481,4618,808,433,691,305,6382,2716,11112,255,1327,979,1071,2362,846,428,3694,1442,932,2101,1235
2021/12/13,7131,2497,2212,3323,301,1315,3367,4187,4065,1751,7029,6653,16015,5648,1362,2143,578,1984,1611,1992,2711,3976,6634,1443,650,4383,9059,6401,1059,747,777,604,6834,3582,13113,491,1473,1791,1440,3614,917,869,4307,1947,1493,2955,1794
2021/12/14,9033,2846,2780,4334,344,1655,3862,5209,4807,2088,8839,7990,19498,7203,1407,2600,745,2083,1665,2251,2958,4856,7745,1820,970,5630,11480,8301,1520,1060,893,767,7584,4322,16420,832,1742,2695,1977,5240,1093,1608,5436,2691,1911,3902,2043
2021/12/15,10865,3330,3790,5779,385,2265,4629,6071,5591,2556,10751,9798,23439,9069,2165,3195,844,2166,1851,2759,3402,5608,9713,2256,1516,6972,14475,10374,2071,1444,1119,1114,8601,5953,19551,1190,2165,3689,2711,7526,1378,2338,6469,3779,2520,4895,2416
2021/12/16,13443,3689,5368,7582,392,2833,5439,6962,6377,3246,12616,11706,28187,10867,2910,3835,1197,2380,2146,3083,3804,6684,11646,3271,2298,8274,17742,12649,2441,1961,1349,1358,9606,7462,22299,1678,2538,4243,3511,10833,1941,3184,7874,4651,3127,5923,2766
2021/12/17,18769,4913,7221,9817,403,3544,6455,9084,8130,4803,15806,15212,34858,15046,5095,4911,2126,2999,2750,4202,4919,8376,15504,4746,3382,11509,25079,17556,3529,2806,1778,1856,11248,9969,26756,2340,3172,5423,4944,15296,2328,4798,10307,6311,4334,7430,3821
2021/12/18,19454,5039,7236,10020,1174,3817,6831,9889,8899,5017,17767,15740,36051,15707,5126,5075,2245,3023,3327,4688,5278,9086,16636,4873,3507,12321,25968,18434,3557,2969,1812,1858,11940,10561,29401,2451,3730,5754,5043,15685,2673,5025,10556,6989,4471,7995,4172
2021/12/19,19481,5039,7236,10119,1190,3829,6832,10039,8910,5073,17941,15777,36316,15765,5126,5075,2245,3023,3411,4688,5278,9089,16752,5524,3524,12327,26017,18458,3561,2971,1822,1858,11951,10731,29410,2453,3739,6070,5043,15719,2742,5028,10574,7012,4520,8006,4187
2021/12/20,21192,5637,7769,10842,1477,4558,7832,11159,9486,5939,20415,18269,42855,18385,6107,5825,2928,3504,3573,5571,5934,10285,19248,6333,4079,13585,29487,21311,4035,3276,2472,2098,12453,11845,31653,3005,4110,6833,6236,18379,3263,5964,12004,8337,5135,8979,5027
2021/12/21,23234,6280,7944,12113,1825,5506,9016,12380,10616,6955,23299,20983,49509,21275,7099,6255,3429,3817,3941,6505,6556,11028,22190,7888,4436,15067,33427,24765,4614,3606,3076,2261,13350,12872,34308,3492,4613,7524,6725,22187,4319,7521,13459,9717,5894,10172,6146
2021/12/22,25603,7005,8189,12709,2286,6262,10443,13823,11241,8460,27215,24520,57781,24542,8223,7202,4159,4128,4460,7880,7653,12050,25735,8904,5125,16615,37268,28139,5233,4216,3635,2782,14373,14406,36866,4086,5055,8426,7400,25248,5458,8894,14716,10973,6611,11101,7761
2021/12/23,28458,7538,8660,13898,2855,6791,11852,15182,11870,9923,31036,27669,66320,28105,9911,7819,5200,4807,5131,8464,8914,13736,28156,10537,5930,17897,41849,31397,5756,5016,3958,3204,15465,15724,39111,5245,5638,8984,8232,29205,6119,10560,16221,12436,7538,12168,9015
2021/12/24,33599,8673,9534,15617,3308,8009,13533,17211,12932,12120,36670,32571,77787,35660,12950,9025,6726,5942,5821,10811,10746,16227,33570,12531,7192,20887,49118,36833,6599,6379,4402,3821,17253,18248,41540,6435,6399,10151,9012,34783,7035,12307,18032,14625,8523,13702,11437
2021/12/25,34821,8958,9632,16028,3333,8229,14874,18166,13334,12735,40291,34634,84268,39001,13146,9061,7567,6197,6027,11111,11340,17655,36108,13264,7585,22123,51429,38589,6726,6532,4523,3947,18383,19018,43181,6631,6921,10481,9114,36341,7265,12553,18302,15654,8663,14342,12440
2021/12/26,35177,8958,9816,16032,3424,8229,15190,18229,13346,12769,40707,34876,85559,39491,13150,9156,7868,6203,6027,11117,11780,17677,36209,14100,7604,22157,51668,38634,6733,6532,4558,3954,18429,19024,44014,6634,6962,10586,9118,36396,7334,12568,18316,15818,8723,14392,12503
2021/12/27,37402,9240,10007,17236,3782,8750,16459,19412,13611,13846,43771,37475,91825,43415,14248,9767,8457,6506,6608,12140,13127,19146,37987,15344,7932,23528,55798,41088,7053,7148,4634,4293,18962,19957,44324,6952,7543,11429,9874,39338,7720,13693,19171,16912,9407,15312,13824
2021/12/28,39879,10349,10259,18289,4288,9149,17935,20412,14342,15465,47554,41142,99739,49244,15701,10011,9037,7319,6980,13523,14863,21829,40848,16164,8514,25145,61005,44069,7434,7581,4721,4615,20207,21500,44687,7391,8511,11876,10245,42034,8164,14357,20719,18425,10253,16407,15719
2021/12/29,41960,10623,10441,18811,4654,9539,18883,21109,14771,16201,50266,43500,104421,51555,16524,10197,9362,7627,7113,14365,15419,23321,42878,16699,8762,26211,64894,45583,7601,7693,4888,4823,21747,22246,44804,7727,9313,12188,10515,43942,8360,14734,21224,19372,10816,16908,16679
2021/12/30,42231,10736,10465,19048,4889,9653,19170,21259,14878,16334,50790,43856,105847,52260,16844,10215,9396,7679,7122,14393,15534,23617,43354,16844,8788,26382,65734,45865,7613,7698,4923,4901,21867,22462,44853,7940,9454,12488,10608,44245,8438,14908,21362,19581,10947,17341,17431
2021/12/31,42231,10736,10471,19048,4889,9653,19176,21311,14883,16409,50812,43877,106134,52293,16844,10215,9396,7681,7122,14415,15546,23622,43357,16844,8788,26387,65888,45873,7615,7698,4923,4908,21877,22462,44853,7964,9460,12494,10608,44260,8445,14930,21368,19581,10947,17353,17460
2022/1/1,42239,10737,10476,19048,4893,9653,19177,21322,14883,16409,50826,43918,106155,52298,16844,10215,9396,7681,7122,14415,15546,23629,43361,16844,8788,26391,66023,45878,7615,7698,4923,4908,21877,22468,44853,7964,9465,12495,10608,44260,8445,14942,21379,19581,10947,17353,17461
2022/1/2,42242,10737,10476,19048,4893,9653,19177,21323,14883,16412,50840,43922,106414,52339,16844,10215,9396,7681,7122,14415,15547,23639,43363,16845,8788,26405,66180,45885,7615,7698,4923,4908,21883,22468,44853,7964,9472,12495,10608,44260,8445,14948,21391,19581,10947,17353,17524
2022/1/3,42259,10737,10476,19117,4893,9653,19178,21347,14883,16460,50871,43938,106695,52357,16844,10215,9396,7681,7122,14416,15547,23648,43367,16845,8788,26405,66405,45902,7618,7698,4928,4908,21883,22474,44853,7964,9472,12495,10608,44281,8445,14948,21409,19581,10947,17358,17524
2022/1/4,42444,10844,10639,19428,4954,9757,19418,21566,15042,16728,51788,44725,108084,53007,16895,10221,9469,7770,7137,14532,15720,23825,43948,16928,9114,26525,67057,46418,7712,7756,4938,4925,22208,22735,44899,8048,9726,12574,10682,44708,8521,15234,21644,19799,11068,17486,17766
2022/1/5,43378,11209,10913,20051,5071,10016,19961,22220,15530,17153,53618,46385,111483,54879,17121,10617,9695,7949,7335,14917,16143,24565,45161,17528,9640,26812,69033,47885,8056,7946,5045,5196,22698,23526,44999,8335,10322,12753,10797,46531,8670,15662,22072,20273,11377,17741,18157
2022/1/6,45628,11849,11288,20659,5304,10319,20645,22893,15826,17904,55667,49068,116157,57222,17722,10773,9865,8271,7711,15395,16900,25549,46702,18362,10260,27690,71687,49702,8416,8206,5157,5460,23615,24342,45105,8609,10859,13017,10976,49717,9151,16209,22803,20729,11661,18257,19007
2022/1/7,52515,12938,12194,22550,6007,10906,22349,25156,16447,19430,60657,54535,126125,63680,19212,11959,11052,8885,8573,16907,18995,28180,53517,20369,11637,30728,79459,54169,9729,9083,5429,6228,25610,26573,45438,9486,11974,14193,11381,55682,9827,17487,24041,22356,12562,19510,20687
2022/1/8,56366,13652,13351,24520,6156,11708,23917,27216,18976,21280,67738,60873,139276,71113,20704,12940,12427,9640,9321,18757,21041,31914,62126,22986,13073,33857,87558,59531,10904,10106,5944,6951,28244,29516,45678,10179,13186,15115,11828,61931,11140,18876,25639,23663,13109,20643,22525
2022/1/9,56896,13683,13437,24594,6204,11708,23965,27628,19188,21527,68556,61318,142889,71554,20857,12946,12591,9698,9342,19029,21491,33039,62788,24337,13272,33976,88370,60011,11390,10146,6008,7448,28323,29743,45715,10182,13404,15267,11834,62686,11167,18926,25738,23757,13248,20828,22959
2022/1/10,57230,13689,13453,24631,6204,11713,24370,27728,19264,21642,68767,61539,143669,72142,20858,12952,12591,9699,9349,19064,21504,33046,63054,24354,13319,34066,89046,60356,11521,10153,6008,7448,28369,29804,45715,10199,13440,15307,11834,62972,11202,18939,25795,23825,13257,20904,23185
2022/1/11,60624,14719,14165,26610,6667,12461,26647,30370,20434,23297,74229,66509,152902,76355,21769,13543,13305,10263,9948,20439,23379,34521,70047,25808,14162,35852,94603,64468,12141,10868,6176,7678,29973,32127,46472,11303,14544,16588,12433,68382,12289,20073,27290,25328,13869,22425,24792
2022/1/12,65795,16106,15250,28952,7266,13392,29240,33334,22701,25182,80413,72475,166481,84175,23081,14620,14607,10972,10629,22011,26209,36420,78663,27441,15254,38199,102734,69613,13428,11966,6562,8284,31747,35162,47328,12864,16067,18506,13319,75866,13798,21640,29936,27759,14950,24355,26573
2022/1/13,72452,17423,16726,31447,8087,14211,31671,36586,24097,26913,87198,78728,179726,91927,24161,15609,15565,11985,11520,23552,28955,37999,85575,29268,16239,40712,110947,75200,14860,12907,7024,8764,33926,38674,47910,13890,18186,20529,14391,84218,15499,23856,32856,30010,15930,26319,28053
2022/1/14,88980,19742,18881,36063,9711,15863,34747,42138,26517,30488,98282,88851,203168,106403,28392,18029,17764,13870,13351,27038,33516,41909,99068,31680,18326,45428,128619,84921,16767,14533,7692,10043,37939,45271,49068,15631,20914,23961,15643,97264,17504,26984,37039,33651,17912,29718,31305
2022/1/15,94819,21548,20431,38886,10317,16528,37073,45877,29774,32783,107989,96670,223303,120569,30861,19006,20484,15143,14868,29928,37013,47017,110486,34554,20778,49369,141240,93158,18372,16793,8333,10821,40659,49195,50934,17116,22479,25761,16297,105676,19363,29235,39073,35495,19823,32793,32965
2022/1/16,96114,21588,20872,39375,10355,16846,37699,46564,30176,33381,110182,98591,229515,121915,31162,19100,20633,15147,16465,29943,37888,48463,111362,34803,21026,49758,144486,94849,18934,16970,8709,10885,40890,49413,52249,17129,23189,26292,16726,106505,19683,29700,39075,35712,20330,32889,33260
2022/1/17,104701,23184,22498,42268,11410,17799,40408,51859,32392,36296,119191,105191,245732,130865,33264,20742,22482,16637,17655,32554,40433,51155,121132,36343,22551,52566,155932,102136,20673,18543,9420,11594,43283,52909,53727,19388,24706,28831,18149,113681,21205,32310,41606,37906,21633,35144,34692
2022/1/18,115695,25233,24164,47905,13165,19292,44199,59320,35386,39830,132342,113231,265834,141855,36384,22669,24493,18306,19345,35526,43196,54775,133776,38129,24343,56433,170013,110778,22918,20188,10249,12876,47063,57905,55881,22111,26909,31544,19990,124144,23433,35615,45236,41091,23597,38576,37059
2022/1/19,127319,27367,26647,54397,14651,20961,48273,66286,39012,43686,146588,122327,289342,155918,39665,25132,27037,19670,20999,38651,47133,60454,148333,40833,26797,60026,185244,122058,25332,21779,11355,14104,51396,62823,58083,24781,29181,34390,21737,135463,25978,39086,49400,43315,25712,42925,39436
2022/1/20,139353,29578,29216,61201,16125,22474,52261,72513,42271,47262,159502,131345,313524,168678,42093,27197,29205,21168,22794,41954,50870,65051,162157,44408,28647,63206,200961,134288,27726,23924,12757,15312,58510,68226,60184,26907,31145,37911,23788,147696,28701,42958,54060,45701,27672,46378,41667
