Date,ALL,Hokkaido,Aomori,Iwate,Miyagi,Akita,Yamagata,Fukushima,Ibaraki,Tochigi,Gunma,Saitama,Chiba,Tokyo,Kanagawa,Niigata,Toyama,Ishikawa,Fukui,Yamanashi,Nagano,Gifu,Shizuoka,Aichi,Mie,Shiga,Kyoto,Osaka,Hyogo,Nara,Wakayama,Tottori,Shimane,Okayama,Hiroshima,Yamaguchi,Tokushima,Kagawa,Ehime,Kochi,Fukuoka,Saga,Nagasaki,Kumamoto,Oita,Miyazaki,Kagoshima,Okinawa
2020/5/9,15581,934,27,0,88,16,69,81,168,54,147,962,879,4846,1158,82,216,277,122,56,74,150,73,491,45,97,347,1732,688,90,62,3,24,24,165,37,5,28,48,74,653,45,17,48,60,17,11,142
2020/5/10,15630,945,27,0,88,16,69,81,168,56,147,967,880,4868,1150,82,216,278,122,56,74,150,73,494,45,97,347,1743,688,90,62,3,24,24,165,37,5,28,48,74,654,45,17,48,60,17,11,142
2020/5/11,15706,954,27,0,88,16,69,81,168,56,147,969,883,4883,1178,82,221,280,122,56,75,150,73,494,45,97,352,1744,693,90,62,3,24,24,165,37,5,28,48,74,654,45,17,48,60,17,11,142
2020/5/12,15854,966,27,0,88,16,69,81,168,56,147,970,885,4987,1193,82,221,283,122,56,75,150,73,495,45,97,352,1750,694,90,63,3,24,25,165,37,5,28,48,74,655,45,17,48,60,17,11,142
2020/5/13,15908,979,27,0,88,16,69,81,168,57,147,973,888,4997,1203,82,222,284,122,57,76,150,73,496,45,97,356,1750,694,90,63,3,24,25,165,37,5,28,51,74,656,46,17,48,60,17,11,142
2020/5/14,16022,983,27,0,88,16,69,81,168,57,147,977,888,5027,1236,82,224,284,122,57,76,150,73,501,45,97,357,1765,697,90,63,3,24,25,165,37,5,28,68,74,657,46,17,48,60,17,10,142
2020/5/15,16066,989,27,0,88,16,69,81,168,58,147,979,890,5036,1251,83,224,285,122,57,76,150,73,503,45,98,358,1765,698,90,63,3,24,25,165,37,5,28,70,74,657,46,17,48,60,17,10,142
2020/5/16,16112,999,27,0,88,16,69,81,168,60,147,984,898,5050,1251,83,225,286,122,57,76,150,73,503,45,99,358,1768,698,90,63,3,24,25,165,37,5,28,70,74,657,47,17,48,60,17,10,142
2020/5/17,16132,1006,27,0,88,16,69,81,168,60,147,988,898,5055,1251,83,225,287,122,57,76,150,73,504,45,99,358,1768,699,90,63,3,24,25,165,37,5,28,71,74,657,47,17,48,60,17,10,142
2020/5/18,16192,1014,27,0,88,16,69,81,168,60,147,991,900,5065,1276,83,227,287,122,57,76,150,73,506,45,99,358,1771,700,90,63,3,24,25,166,37,5,28,73,74,658,47,17,48,60,17,10,142
2020/5/19,16212,1015,27,0,88,16,69,81,168,61,148,991,900,5070,1284,83,227,290,122,58,76,150,73,506,45,99,358,1771,699,90,63,3,24,25,166,37,5,28,74,74,658,47,17,48,60,17,10,142
