2021/12/1,351,87,81,4,1,7,91,33,7,1,104,69,403,58,1,0,1,0,99,18,468,172,232,3,10,104,237,43,11,4,83,8,296,77,790,11,131,151,12,116,23,3,150,12,114,253,7
2021/12/2,564,126,212,15,2,7,130,57,22,5,418,140,762,85,1,40,3,48,166,131,867,174,438,10,31,137,292,83,14,4,119,10,545,146,1505,11,140,283,23,131,37,3,320,20,129,388,35
2021/12/3,1154,223,371,24,3,9,213,160,302,113,1045,307,1918,217,17,257,9,111,230,279,1103,379,1184,22,46,420,895,179,36,80,297,21,1089,371,2878,14,268,427,85,153,48,9,567,108,288,585,433
2021/12/4,1176,278,372,34,3,14,213,298,334,123,1166,554,2148,293,18,257,10,117,242,288,1127,637,1617,28,62,446,996,274,44,84,300,21,1212,403,3207,17,283,431,98,162,52,12,574,109,290,614,502
2021/12/5,1194,278,372,34,3,14,213,308,334,123,1167,710,2217,315,18,278,11,117,242,291,1127,637,1620,31,71,447,1012,293,44,84,300,21,1215,441,3551,17,296,432,98,173,52,66,575,109,290,615,503
2021/12/6,1677,514,467,199,58,15,429,478,556,270,1694,1208,3504,653,34,613,99,209,361,476,1140,916,1941,94,83,645,1466,520,62,108,368,52,1807,725,4983,22,400,587,295,425,83,68,667,122,424,650,520
2021/12/7,2238,829,525,593,100,198,666,808,1194,365,2159,1857,4830,1095,49,863,104,273,439,622,1300,1163,2277,160,117,1187,2020,938,233,128,427,80,2495,950,6244,35,518,596,427,688,107,77,849,165,496,945,546
2021/12/8,2694,1337,766,766,143,294,1016,1251,1484,458,2812,2499,6223,1606,164,963,110,323,531,894,1452,1648,2857,284,192,1617,2794,1487,407,160,455,115,3500,1390,7316,48,623,603,482,761,170,119,1288,263,666,1255,637
2021/12/9,3398,1611,1049,1196,194,668,1572,1616,1872,578,3666,3138,8236,2308,278,977,115,957,703,1014,1561,1911,3177,446,221,1897,3442,2150,429,203,511,149,4413,2033,8597,134,798,778,567,968,257,140,2056,359,763,1472,671
2021/12/10,5653,2325,1651,2214,257,1156,2444,2698,3537,1323,5347,4898,12089,3703,745,1204,435,1742,1122,1603,2210,2813,5031,961,373,2876,6720,4175,777,422,675,305,5965,2632,10652,249,1154,961,1009,2244,825,319,3512,1267,870,1952,1131
2021/12/11,5766,2363,1653,2304,259,1162,2627,3008,3615,1382,5665,5175,12806,4032,756,1377,442,1752,1419,1748,2272,2854,5420,966,402,3189,7421,4463,808,430,684,305,6381,2702,11107,255,1304,978,1071,2337,839,427,3686,1435,915,2092,1218
2021/12/12,5780,2363,1653,2304,259,1162,2627,3129,3617,1384,5677,5235,12964,4038,757,1377,442,1752,1419,1749,2300,2854,5424,971,410,3193,7479,4617,808,433,691,305,6382,2716,11110,255,1327,979,1071,2361,846,427,3692,1441,932,2100,1235
2021/12/13,7129,2497,2212,3324,300,1315,3367,4187,4064,1751,7027,6652,15992,5650,1362,2143,578,1984,1609,1992,2711,3976,6635,1442,650,4377,9056,6401,1059,747,777,604,6834,3582,13111,491,1473,1791,1440,3613,917,868,4305,1946,1493,2953,1793
2021/12/14,9031,2846,2780,4335,343,1655,3862,5209,4808,2088,8835,7989,19472,7204,1407,2600,745,2083,1663,2251,2959,4856,7746,1819,970,5624,11478,8300,1520,1060,893,767,7585,4322,16418,832,1742,2695,1977,5239,1093,1607,5434,2690,1911,3900,2042
2021/12/15,10863,3330,3790,5780,384,2265,4629,6071,5592,2556,10746,9797,23407,9075,2165,3195,843,2166,1849,2759,3403,5607,9713,2255,1516,6963,14473,10372,2071,1444,1119,1114,8602,5953,19549,1190,2165,3689,2711,7525,1378,2336,6467,3776,2520,4893,2413
2021/12/16,13441,3689,5368,7583,391,2833,5439,6962,6378,3246,12609,11702,28152,10873,2910,3835,1196,2380,2143,3083,3805,6683,11646,3270,2297,8264,17739,12648,2441,1961,1349,1358,9607,7463,22297,1678,2538,4243,3511,10832,1941,3182,7872,4648,3127,5921,2763
2021/12/17,18763,4913,7221,9818,402,3544,6455,9084,8131,4803,15796,15207,34817,15050,5095,4911,2125,2999,2747,4202,4920,8375,15503,4744,3381,11495,25074,17541,3529,2806,1778,1856,11248,9970,26754,2340,3172,5423,4944,15295,2328,4796,10306,6308,4334,7428,3818
2021/12/18,19448,5039,7236,10021,1173,3817,6831,9889,8900,5017,17756,15735,36009,15712,5126,5075,2244,3023,3323,4688,5279,9085,16634,4871,3506,12306,25963,18419,3557,2969,1812,1858,11941,10562,29399,2451,3730,5754,5043,15684,2673,5023,10555,6986,4471,7993,4169
2021/12/19,19475,5039,7236,10120,1189,3829,6831,10039,8911,5073,17930,15772,36274,15770,5126,5075,2244,3023,3407,4688,5279,9088,16750,5522,3523,12312,26012,18443,3561,2971,1822,1858,11952,10732,29408,2453,3739,6070,5043,15718,2742,5026,10573,7009,4520,8004,4184
2021/12/20,21185,5638,7769,10843,1476,4558,7830,11159,9487,5939,20403,18263,42807,18395,6107,5825,2927,3504,3569,5571,5935,10283,19246,6331,4078,13569,29480,21295,4035,3276,2472,2098,12454,11845,31651,3005,4110,6833,6236,18379,3263,5962,12002,8331,5135,8977,5024
2021/12/21,23227,6280,7944,12114,1824,5506,9014,12379,10617,6955,23284,20977,49457,21286,7099,6256,3428,3817,3937,6505,6557,11026,22188,7886,4435,15050,33420,24750,4614,3606,3076,2261,13351,12872,34306,3492,4613,7524,6725,22187,4320,7519,13457,9711,5895,10170,6143
2021/12/22,25596,7005,8189,12710,2285,6262,10441,13823,11242,8460,27196,24512,57725,24554,8223,7202,4158,4128,4452,7880,7654,12046,25733,8902,5124,16597,37258,28125,5233,4216,3635,2782,14374,14406,36863,4086,5055,8426,7400,25248,5459,8892,14714,10967,6612,11099,7758
2021/12/23,28451,7538,8659,13899,2854,6791,11850,15182,11872,9924,31016,27662,66258,28117,9911,7819,5199,4807,5120,8463,8915,13731,28152,10534,5928,17880,41836,31384,5756,5016,3958,3204,15465,15724,39108,5246,5638,8984,8232,29206,6120,10558,16218,12430,7539,12166,9012
2021/12/24,33591,8672,9533,15617,3307,8009,13531,17211,12933,12121,36646,32561,77718,35672,12950,9025,6725,5942,5807,10810,10747,16219,33565,12528,7190,20870,49101,36821,6599,6379,4402,3821,17253,18248,41537,6436,6398,10151,9012,34783,7036,12305,18029,14619,8524,13700,11433
2021/12/25,34813,8957,9631,16024,3332,8229,14872,18166,13335,12736,40268,34623,84194,39017,13146,9061,7566,6197,6013,11110,11341,17647,36103,13261,7583,22106,51412,38578,6726,6532,4523,3947,18383,19018,43178,6632,6920,10481,9114,36341,7266,12551,18299,15648,8664,14340,12436
2021/12/26,35169,8957,9815,16028,3423,8229,15188,18229,13347,12770,40676,34865,85485,39507,13150,9156,7867,6203,6013,11116,11781,17669,36204,14097,7602,22140,51651,38623,6733,6532,4558,3954,18429,19024,44011,6635,6961,10586,9118,36396,7335,12566,18313,15812,8724,14390,12499
2021/12/27,37394,9239,10006,17231,3781,8750,16457,19412,13612,13847,43748,37464,91744,43430,14248,9767,8456,6506,6592,12139,13127,19138,37982,15341,7930,23509,55780,41076,7053,7148,4634,4293,18962,19956,44321,6953,7541,11429,9874,39338,7721,13691,19168,16906,9408,15310,13820
2021/12/28,39870,10348,10258,18283,4287,9149,17932,20412,14342,15466,47531,41120,99650,49259,15700,10011,9036,7319,6964,13521,14862,21818,40843,16161,8512,25125,60986,44058,7434,7581,4721,4615,20207,21498,44684,7392,8509,11876,10245,42032,8165,14355,20716,18418,10254,16405,15716
2021/12/29,41951,10622,10440,18805,4653,9539,18879,21109,14770,16202,50240,43488,104322,51569,16523,10197,9361,7627,7097,14363,15418,23310,42873,16696,8760,26190,64875,45571,7601,7693,4888,4823,21747,22244,44801,7728,9311,12188,10515,43940,8361,14732,21221,19365,10817,16906,16676
2021/12/30,42222,10735,10464,19042,4888,9653,19166,21258,14877,16335,50763,43842,105747,52271,16843,10215,9395,7679,7106,14391,15533,23606,43349,16841,8786,26361,65713,45853,7612,7698,4923,4901,21867,22460,44850,7941,9452,12488,10608,44243,8439,14906,21359,19574,10948,17339,17426
2021/12/31,42222,10735,10470,19042,4888,9653,19172,21310,14882,16410,50785,43863,106034,52304,16843,10215,9395,7681,7106,14413,15545,23611,43352,16841,8786,26366,65866,45861,7614,7698,4923,4908,21877,22460,44850,7965,9458,12494,10608,44258,8446,14928,21365,19574,10948,17351,17455
2022/1/1,42230,10736,10475,19042,4892,9653,19173,21321,14882,16410,50799,43904,106055,52309,16843,10215,9395,7681,7106,14413,15545,23618,43356,16841,8786,26370,66001,45866,7614,7698,4923,4908,21877,22466,44850,7965,9463,12495,10608,44258,8446,14940,21376,19574,10948,17351,17456
2022/1/2,42233,10736,10475,19042,4892,9653,19173,21322,14882,16413,50813,43908,106314,52349,16843,10215,9395,7681,7106,14413,15546,23628,43358,16842,8786,26384,66158,45872,7614,7698,4923,4908,21883,22466,44850,7965,9470,12495,10608,44258,8446,14946,21388,19574,10948,17351,17519
2022/1/3,42250,10736,10475,19111,4892,9653,19174,21346,14882,16461,50844,43924,106595,52367,16843,10215,9395,7681,7106,14414,15546,23637,43362,16842,8786,26384,66383,45889,7617,7698,4928,4908,21883,22472,44850,7965,9470,12495,10608,44279,8446,14946,21406,19574,10948,17356,17519
2022/1/4,42435,10843,10638,19422,4953,9757,19414,21565,15041,16729,51758,44711,107981,53019,16894,10221,9468,7770,7121,14530,15719,23814,43943,16925,9112,26504,67035,46405,7711,7756,4938,4925,22208,22733,44896,8049,9724,12574,10682,44705,8522,15232,21641,19792,11069,17484,17761
2022/1/5,43368,11208,10912,20045,5070,10016,19957,22219,15529,17154,53589,46370,111371,54890,17120,10617,9694,7949,7319,14915,16142,24554,45156,17525,9638,26791,69008,47872,8055,7946,5045,5196,22698,23524,44996,8336,10320,12753,10797,46527,8671,15660,22068,20266,11378,17739,18152
2022/1/6,45618,11848,11287,20653,5303,10319,20640,22892,15825,17904,55642,49053,116037,57234,17730,10773,9863,8271,7695,15393,16899,25538,46697,18358,10258,27669,71660,49689,8414,8206,5157,5460,23615,24340,45102,8610,10857,13017,10976,49706,9152,16207,22798,20722,11662,18255,19001
2022/1/7,52502,12937,12193,22544,6005,10906,22344,25155,16446,19430,60631,54518,125993,63689,19211,11959,11050,8885,8556,16905,18994,28169,53512,20365,11635,30706,79425,54155,9727,9083,5429,6228,25610,26571,45435,9486,11972,14192,11381,55668,9828,17485,24036,22349,12563,19508,20680
2022/1/8,56353,13651,13350,24514,6154,11708,23912,27215,18974,21280,67710,60855,139140,71113,20703,12940,12425,9640,9304,18755,21041,31903,62121,22982,13072,33833,87523,59514,10902,10106,5944,6951,28244,29514,45675,10179,13184,15114,11828,61917,11141,18874,25634,23656,13110,20641,22518
2022/1/9,56883,13682,13436,24588,6202,11708,23960,27627,19186,21527,68528,61299,142754,71553,20856,12946,12589,9698,9325,19027,21491,33028,62783,24333,13271,33952,88332,59994,11388,10146,6008,7448,28323,29741,45712,10182,13402,15266,11834,62672,11168,18924,25733,23750,13249,20826,22952
2022/1/10,57217,13688,13452,24625,6202,11713,24365,27727,19262,21642,68739,61519,143531,72140,20857,12952,12589,9699,9332,19062,21504,33035,63049,24350,13318,34042,89007,60339,11519,10153,6008,7448,28369,29802,45712,10199,13438,15306,11834,62958,11203,18937,25790,23818,13258,20902,23178
2022/1/11,60611,14718,14164,26604,6665,12460,26641,30369,20433,23297,74198,66485,152757,76360,21762,13543,13303,10263,9931,20437,23379,34509,70040,25803,14161,35827,94563,64450,12139,10868,6176,7678,29973,32125,46469,11303,14542,16587,12433,68368,12290,20071,27283,25320,13870,22423,24784
2022/1/12,65782,16105,15249,28946,7264,13391,29233,33333,22700,25181,80380,72445,166324,84175,23074,14620,14605,10972,10612,22009,26208,36406,78657,27436,15253,38174,102691,69598,13426,11966,6562,8284,31747,35160,47324,12864,16064,18505,13319,75851,13799,21638,29929,27751,14951,24353,26565
2022/1/13,72440,17422,16725,31440,8085,14210,31664,36585,24096,26910,87167,78697,179547,91926,24154,15609,15563,11985,11503,23550,28954,37984,85569,29263,16238,40686,110904,75184,14858,12907,7024,8764,33926,38672,47906,13890,18183,20528,14391,84204,15499,23854,32849,30002,15931,26317,28045
2022/1/14,88966,19740,18880,36056,9709,15862,34739,42135,26516,30485,98243,88816,202974,106405,28390,18029,17762,13870,13334,27036,33515,41893,99062,31676,18322,45399,128570,84907,16765,14533,7691,10043,37936,45269,49064,15631,20911,23960,15643,97244,17503,26982,37031,33643,17913,29715,31293
2022/1/15,94804,21546,20430,38878,10314,16527,37064,45873,29773,32780,107948,96632,223089,120563,30859,19006,20482,15143,14851,29926,37011,47000,110480,34550,20774,49335,141192,93140,18369,16793,8332,10821,40656,49193,50929,17115,22475,25760,16297,105656,19362,29232,39065,35487,19824,32790,32953
2022/1/16,96099,21586,20871,39366,10352,16845,37690,46560,30175,33378,110140,98551,229301,121912,31160,19100,20631,15147,16448,29941,37886,48446,111356,34799,21022,49724,144435,94831,18931,16970,8708,10885,40887,49411,52244,17128,23185,26291,16726,106485,19682,29697,39067,35704,20331,32886,33248
