10歳未満,10代,20代,30代,40代,50代,60代,70代,80代,90代,100歳以上,10歳未満,10代,20代,30代,40代,50代,60代,70代,80代,90代,100歳以上
7.6923,2.5641,25.6410,26.9231,17.9487,12.8205,1.2821,1.2821,3.8462,0.0000,0.0000,7.6923,10.2564,35.8974,62.8205,80.7692,93.5897,94.8718,96.1538,100.0000,100.0000,100.0000
3.6585,8.5366,36.5854,17.0732,21.9512,3.6585,7.3171,1.2195,0.0000,0.0000,0.0000,3.6585,12.1951,48.7805,65.8537,87.8049,91.4634,98.7805,100.0000,100.0000,100.0000,100.0000
3.8835,8.7379,29.1262,23.3010,16.5049,8.7379,0.0000,5.8252,2.9126,0.9709,0.0000,3.8835,12.6214,41.7476,65.0485,81.5534,90.2913,90.2913,96.1165,99.0291,100.0000,100.0000
5.2980,6.6225,39.0728,24.5033,10.5960,9.9338,0.6623,1.3245,1.3245,0.6623,0.0000,5.2980,11.9205,50.9934,75.4967,86.0927,96.0265,96.6887,98.0132,99.3377,100.0000,100.0000
3.6082,6.1856,39.4330,18.0412,14.1753,10.5670,4.8969,2.3196,0.5155,0.2577,0.0000,3.6082,9.7938,49.2268,67.2680,81.4433,92.0103,96.9072,99.2268,99.7423,100.0000,100.0000
4.2188,5.7812,39.6875,20.4688,15.3125,6.5625,4.0625,2.0312,1.0938,0.6250,0.1562,4.2188,10.0000,49.6875,70.1562,85.4688,92.0312,96.0938,98.1250,99.2188,99.8438,100.0000
4.5652,7.6087,41.8478,20.1087,12.0652,7.5000,3.4783,1.6304,0.9783,0.2174,0.0000,4.5652,12.1739,54.0217,74.1304,86.1957,93.6957,97.1739,98.8043,99.7826,100.0000,100.0000
4.0065,7.8496,42.2731,21.2592,9.8937,8.7490,2.2077,1.7989,1.3900,0.5724,0.0000,4.0065,11.8561,54.1292,75.3884,85.2821,94.0311,96.2388,98.0376,99.4276,100.0000,100.0000
3.5159,8.1766,41.2101,18.9697,13.0008,8.3401,2.6165,2.8618,1.0630,0.2453,0.0000,3.5159,11.6926,52.9027,71.8724,84.8733,93.2134,95.8299,98.6917,99.7547,100.0000,100.0000
4.7072,12.8588,37.4282,16.6475,12.7440,7.9219,4.3628,1.9518,1.0333,0.3444,0.0000,4.7072,17.5660,54.9943,71.6418,84.3858,92.3077,96.6705,98.6223,99.6556,100.0000,100.0000
5.6309,10.4275,39.8332,16.9969,11.7831,8.2377,3.1283,1.9812,1.5641,0.4171,0.0000,5.6309,16.0584,55.8916,72.8884,84.6715,92.9093,96.0375,98.0188,99.5829,100.0000,100.0000
4.8725,9.1530,33.9253,19.8543,13.7523,10.3825,4.1439,2.2769,1.2750,0.3188,0.0455,4.8725,14.0255,47.9508,67.8051,81.5574,91.9399,96.0838,98.3607,99.6357,99.9545,100.0000
5.9917,9.9327,35.0208,19.7052,13.2329,8.7792,3.8449,2.1147,1.0894,0.2563,0.0320,5.9917,15.9244,50.9452,70.6504,83.8834,92.6626,96.5075,98.6222,99.7116,99.9680,100.0000
5.8200,11.9112,36.3748,17.6326,12.7250,8.7300,3.2552,2.0962,1.0111,0.3946,0.0493,5.8200,17.7312,54.1060,71.7386,84.4636,93.1936,96.4488,98.5450,99.5561,99.9507,100.0000
5.8346,12.4369,38.2101,16.6484,12.4589,7.6333,3.1147,2.0838,1.1187,0.4168,0.0439,5.8346,18.2716,56.4817,73.1301,85.5889,93.2222,96.3369,98.4207,99.5394,99.9561,100.0000
7.0571,13.5142,35.4297,15.8425,12.0739,8.1373,3.8886,2.5444,1.0562,0.4561,0.0000,7.0571,20.5713,56.0010,71.8435,83.9174,92.0547,95.9434,98.4878,99.5439,100.0000,100.0000
7.6757,14.3550,33.0999,16.1864,11.2847,9.6418,3.4743,2.4778,1.2928,0.5117,0.0000,7.6757,22.0307,55.1306,71.3170,82.6017,92.2435,95.7177,98.1955,99.4883,100.0000,100.0000
7.8363,14.8427,31.0944,16.0008,13.0863,9.4769,4.0340,1.9687,1.3511,0.3088,0.0000,7.8363,22.6790,53.7734,69.7742,82.8605,92.3374,96.3714,98.3401,99.6912,100.0000,100.0000
9.4488,12.7478,28.7537,17.7030,14.1597,8.8515,4.0863,2.2943,1.3304,0.5973,0.0272,9.4488,22.1966,50.9503,68.6533,82.8129,91.6644,95.7507,98.0451,99.3755,99.9728,100.0000
9.0456,11.3041,30.2872,17.9407,14.4892,8.9761,3.9263,2.3280,1.2856,0.3938,0.0232,9.0456,20.3498,50.6370,68.5777,83.0669,92.0431,95.9694,98.2974,99.5830,99.9768,100.0000
9.0459,11.1191,30.6653,18.9273,13.7390,8.7365,3.9299,2.2486,1.2068,0.3507,0.0309,9.0459,20.1650,50.8303,69.7576,83.4966,92.2331,96.1630,98.4116,99.6184,99.9691,100.0000
