"公表_年月日" "陽性者数" "軽症・中等症" "重症" "宿泊療養" "自宅療養" "調整中" "死亡"
2020/12/16 678 1891 69 938 1255 917 10
2020/12/17 822 1886 66 928 1363 1107 0
2020/12/18 664 1988 66 896 1512 980 4
2020/12/19 736 2072 62 918 1510 1563 5
2020/12/20 556 2041 66 939 1705 1327 0
2020/12/21 392 2091 63 971 1813 1049 1
2020/12/22 544 2029 64 987 1825 936 1
2020/12/23 748 2034 69 983 1886 1055 10
2020/12/24 888 2056 73 966 1873 1291 9
2020/12/25 884 2058 81 985 2143 1287 10
2020/12/26 949 2098 81 1006 2269 1669 10
2020/12/27 708 2179 82 1006 2383 1860 0
2020/12/28 481 2222 81 1089 2717 1386 6
2020/12/29 856 2190 84 1118 2768 1492 5
2020/12/30 944 2299 85 1107 2975 1769 4
2020/12/31 1337 2505 89 1076 3174 2341 5
2021/01/01 783 2642 88 1013 3278 2447 4
2021/01/02 814 2687 94 924 3387 2756 0
2021/01/03 816 2801 101 886 3498 3015 1
2021/01/04 884 2887 108 864 4007 2938 2
2021/01/05 1278 2914 111 870 4480 3083 14
2021/01/06 1591 2977 113 924 4901 3516 8
2021/01/07 2447 3033 121 939 5319 4759 11
2021/01/08 2392 3049 129 961 5935 5660 7
2021/01/09 2268 2990 129 1000 6370 6737 8
2021/01/10 1494 3111 128 1035 7009 6930 3
2021/01/11 1219 3224 131 1043 7494 7031 4
2021/01/12 970 3283 144 1009 8452 6141 2
2021/01/13 1433 3125 141 981 8414 6546 13
2021/01/14 1502 2998 135 908 8837 6575 3
2021/01/15 2001 2887 133 879 8852 7046 10
2021/01/16 1809 2922 136 859 8431 7531 3
2021/01/17 1592 2907 138 831 9043 7727 5
2021/01/18 1204 2868 143 843 9442 7481 3
2021/01/19 1240 2786 155 843 8966 7539 16
2021/01/20 1274 2733 160 876 8965 6799 10
2021/01/21 1471 2661 159 860 8927 6874 7
2021/01/22 1175 2588 158 873 8814 6276 9
2021/01/23 1070 2673 156 875 8418 6113 9
2021/01/24 986 2642 156 882 8474 6073 3
2021/01/25 618 2660 148 876 8063 5568 14
2021/01/26 1026 2699 148 800 7510 5540 13
2021/01/27 973 2712 159 737 7159 5353 18
2021/01/28 1064 2738 150 659 6600 4810 20
2021/01/29 868 2756 147 693 5816 4395 17
2021/01/30 769 2741 141 709 5644 4148 19
2021/01/31 633 2751 140 683 5470 4213 3
2021/02/01 393 2766 133 656 4692 3472 8
2021/02/02 556 2730 129 622 3851 3433 23
2021/02/03 676 2751 125 607 3264 3107 32
2021/02/04 734 2740 115 576 3115 2570 25
2021/02/05 577 2699 117 579 2770 2222 22
2021/02/06 639 2661 114 567 2123 2252 21
2021/02/07 429 2611 111 578 1638 2236 6
2021/02/08 276 2559 104 557 1626 1653 12
2021/02/09 412 2502 104 535 1340 1493 18
2021/02/10 491 2450 103 527 1265 1473 25
